Name,latitude,longitude,Ocean,Fate,Date
U-91,60.143918,-30.139176,The Atlantic ocean,Sunk,1944-02-26
U-92,60.4,5.316667,The North Sea,Scrapped,1944-10-04
U-93,36.166667,-15.866667,The Atlantic ocean,Sunk,1942-01-15
U-94,17.666667,-74.5,The Caribbean Sea,Sunk,1942-08-28
U-95,36.4,-3.333333,The Mediterranean Sea,Sunk,1941-11-28
U-96,53.528611,8.105556,The North Sea,Sunk,1945-03-30
U-97,33.0,34.0,The Mediterranean Sea,Sunk,1943-06-16
U-98,36.15,-7.7,The Atlantic ocean,Sunk,1942-11-15
U-99,61.0,-12.0,The Atlantic ocean,Sunk,1941-03-17
U-100,61.066667,-11.5,The Atlantic ocean,Sunk,1941-03-17
U-101,54.116667,10.833333,The Barents Sea,Scuttled,1945-05-03
U-102,48.55,-10.433333,The Atlantic ocean,Sunk,1940-07-01
U-103,54.326,10.164,The Barents Sea,Scuttled,1945-05-03
U-104,55.5,-8.0,The Atlantic ocean,Sunk,1940-11-28
U-105,14.745027,-17.74182,The Atlantic ocean,Sunk,1943-06-02
U-106,43.953369,-4.63962,The Atlantic ocean,Sunk,1943-08-02
U-107,46.766667,-3.816667,The Atlantic ocean,Sunk,1944-08-18
U-108,47.22,-22.4,The Atlantic ocean,Scuttled,1944-04-11
U-109,47.22,-22.4,The Atlantic ocean,Sunk,1943-05-04
U-110,60.366667,-33.2,The Atlantic ocean,Captured,1941-05-09
U-111,27.166667,-20.4,The Atlantic ocean,Sunk,1941-10-04
U-116,45.0,-31.5,The Atlantic ocean,Missing,1942-10-06
U-117,39.7,-38.35,The Atlantic ocean,Sunk,1943-08-07
U-118,30.816667,-28.35,The Atlantic ocean,Sunk,1943-06-12
U-119,44.983333,-12.4,The Atlantic ocean,Sunk,1943-06-24
U-120,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-121,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-122,45.5,-4.4,The Atlantic ocean,Missing,1940-06-22
U-123,47.725976,-3.363578,The Atlantic ocean,Scuttled,1944-08-19
U-124,41.033333,-15.65,The Atlantic ocean,Sunk,1943-04-02
U-125,52.5,-45.333333,The Atlantic ocean,Sunk,1943-05-06
U-126,52.5,-45.333333,The Atlantic ocean,Sunk,1943-07-03
U-127,10.0,-35.583,The Atlantic ocean,Sunk,1941-12-15
U-128,10.0,-35.583,The Atlantic ocean,Sunk,1943-05-17
U-129,47.725976,-3.363578,The Atlantic ocean,Scuttled,1944-08-18
U-130,37.973749,-36.58919,The Atlantic ocean,Sunk,1943-03-12
U-131,34.2,-13.583333,The Atlantic ocean,Scuttled,1941-12-17
U-132,55.5,-40.0,The Atlantic ocean,Sunk,1942-11-04
U-133,37.833333,23.583333,The Mediterranean Sea,Sunk,1942-03-14
U-134,44.05,-8.083333,The Atlantic ocean,Sunk,1943-08-27
U-135,28.333333,-13.283333,The Atlantic ocean,Sunk,1943-07-15
U-136,33.5,-22.866667,The Atlantic ocean,Sunk,1942-07-11
U-137,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-138,36.066667,-7.483333,The Atlantic ocean,Scuttled,1941-06-18
U-139,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-140,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-141,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-142,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-143,55.966667,-9.583333,The Atlantic ocean,Sunk,1945-12-22
U-144,59.0,23.0,The Barents Sea,Sunk,1941-08-10
U-145,55.783333,-9.933333,The Atlantic ocean,Sunk,1945-12-22
U-146,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-147,56.757731,-11.382499,The Atlantic ocean,Sunk,1941-06-02
U-148,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-149,55.666667,-8.0,The Atlantic ocean,Sunk,1945-12-21
U-150,56.066667,-9.583333,The Atlantic ocean,Sunk,1945-12-21
U-151,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-152,53.55,8.583333,The Atlantic ocean,Scuttled,1945-05-05
U-153,9.392016,-79.927123,The Caribbean Sea,Sunk,1943-07-13
U-154,34.0,-19.3,The Atlantic ocean,Sunk,1944-07-03
U-155,55.583,-7.65,The Atlantic ocean,Sunk,1945-12-21
U-156,12.633333,-54.65,The Atlantic ocean,Sunk,1943-03-08
U-157,24.216667,-82.05,The Caribbean Sea,Sunk,1942-06-13
U-158,32.833333,-67.466667,The Atlantic ocean,Sunk,1942-06-30
U-159,47.44013,-4.165525,The Atlantic ocean,Sunk,1943-07-28
U-160,31.84924,-28.713053,The Atlantic ocean,Sunk,1943-07-14
U-161,-12.5,-35.5833,The Atlantic ocean,Sunk,1943-09-27
U-162,12.35,-59.4833,The Caribbean Sea,Sunk,1942-09-03
U-163,45.083333,-15.0,The Atlantic ocean,Sunk,1943-03-13
U-164,-1.966667,-39.366667,The Atlantic ocean,Sunk,1943-01-06
U-165,47.0833,-5.5,The Atlantic ocean,Sunk,1942-09-27
U-166,28.6833,-88.7,The Mexican Gulf,Sunk,1942-07-30
U-167,-6.2,111.28,The Java Sea,Scuttled,1943-04-06
U-168,-6.2,111.28,The Java Sea,Sunk,1944-10-06
U-169,60.9,-15.4167,The Atlantic ocean,Sunk,1943-03-27
U-170,56.066667,-9.583333,The Atlantic ocean,Sunk,1945-11-30
U-171,47.797,3.784,The Atlantic ocean,Sunk,1942-10-09
U-172,26.483,29.967,The Atlantic ocean,Sunk,1943-12-13
U-173,33.667,-7.583,The Atlantic ocean,Sunk,1942-11-16
U-174,43.583,-56.3,The Atlantic ocean,Sunk,1943-04-27
U-175,47.883,-22.067,The Atlantic ocean,Sunk,1943-04-17
U-176,23.35,-80.3,The Caribbean Sea,Sunk,1943-05-15
U-177,-10.583,-23.25,The Atlantic ocean,Sunk,1944-02-06
U-178,44.927338,-0.550175,The Atlantic ocean,Scuttled,1944-08-25
U-179,-33.467,17.083,The Atlantic ocean,Sunk,1942-10-08
U-180,44.0,-2.0,The Atlantic ocean,Missing,1944-08-23
U-181,3.09722,100.69722,The South China Sea,Scuttled,1946-02-12
U-182,33.91667,-20.58333,The Atlantic ocean,Sunk,1943-05-16
U-183,-4.833,112.867,The Java Sea,Sunk,1945-04-23
U-184,49.0,-45.0,The Atlantic ocean,Missing,1942-11-21
U-185,27.0,-37.1,The Atlantic ocean,Sunk,1943-08-24
U-186,41.9,-31.817,The Atlantic ocean,Sunk,1943-05-12
U-187,50.2,-36.583333,The Atlantic ocean,Sunk,1943-02-04
U-188,44.833,-0.567,The Atlantic ocean,Scuttled,1944-08-25
U-189,59.762444,-42.039256,The Atlantic ocean,Sunk,1943-04-23
U-190,43.917,-63.0,The Atlantic ocean,Surrendered,1945-05-14
U-191,59.02889,-42.210033,The Atlantic ocean,Sunk,1943-04-23
U-192,53.1,-45.733333,The Atlantic ocean,Sunk,1943-05-06
U-193,45.633333,-9.716667,The Atlantic ocean,Missing,1944-04-24
U-194,59.0,-26.3,The Atlantic ocean,Sunk,1943-06-24
U-195,-6.08411,106.828005,The Java Sea,Surrendered,1945-05-02
U-196,-5.92,105.88,The Java Sea,Missing,1944-12-01
U-197,-28.666667,42.6,The Indian Ocean,Sunk,1943-08-20
U-198,-3.583333,52.816667,The Indian Ocean,Sunk,1944-08-12
U-199,-23.9,-42.9,The Atlantic ocean,Sunk,1943-07-31
U-200,58.25,-25.416667,The Atlantic ocean,Sunk,1943-06-24
U-201,50.833333,-40.833333,The Atlantic ocean,Sunk,1943-02-17
U-202,56.2,-39.866667,The Atlantic ocean,Sunk,1943-06-02
U-203,55.083333,-42.416667,The Atlantic ocean,Sunk,1943-04-25
U-204,35.766667,-6.033333,The Atlantic ocean,Sunk,1941-10-19
U-205,32.933333,22.016667,The Mediterranean Sea,Sunk,1943-02-17
U-206,47.083333,-2.666667,The Atlantic ocean,Missing,1941-11-29
U-207,56.538126,-40.118039,The Atlantic ocean,Sunk,1941-09-11
U-208,35.534015,-11.115261,The Atlantic ocean,Sunk,1941-12-07
U-209,52.0,-38.0,The Atlantic ocean,Missing,1943-05-07
U-210,54.4,-34.616667,The Atlantic ocean,Sunk,1942-08-06
U-211,38.232457,-19.513926,The Atlantic ocean,Sunk,1943-11-19
U-212,50.45,-0.216667,The English channel,Sunk,1944-07-21
U-213,36.75,-22.833333,The Atlantic ocean,Sunk,1942-07-31
U-214,49.966667,-3.5,The English channel,Sunk,1944-07-26
U-215,41.479972,-66.379972,The Atlantic ocean,Sunk,1942-07-03
U-216,48.35,-19.416667,The Atlantic ocean,Sunk,1942-10-20
U-217,30.3,-42.833333,The Atlantic ocean,Sunk,1943-06-05
U-218,55.466667,-7.3,The Atlantic ocean,Sunk,1945-12-05
U-219,-6.516667,104.902222,The Java Sea,Surrendered,1945-08-04
U-220,44.056907,-32.493876,The Atlantic ocean,Sunk,1943-10-28
U-221,47.0,-18.0,The Atlantic ocean,Sunk,1943-09-27
U-222,54.416667,19.5,The Barents Sea,Sunk,1942-09-02
U-223,38.8,14.166667,The Mediterranean Sea,Sunk,1944-03-30
U-224,36.466667,0.816667,The Mediterranean Sea,Sunk,1943-01-13
U-225,48.616667,-30.583333,The Atlantic ocean,Sunk,1943-02-22
