UboatName,TypeOfUboat,Commissioned,FateDate,Fate,FateLatitude,FateLongitude,Days_in_service,TotalShipsSunked,Years_in_service,AverageDayPerShip,WarOutCome
U-56,IIC,1938-11-26,1945-05-03,Scuttled,54.316667,10.166667,2350,4,6.43,587.5,Survived the war
U-57,IIC,1938-12-29,1945-05-03,Scuttled,54.316667,10.166667,2317,12,6.34,193.08,Survived the war
U-58,IIC,1939-02-04,1945-05-03,Scuttled,54.316667,10.166667,2280,7,6.24,325.71,Survived the war
U-59,IIC,1939-03-04,1945-05-03,Scuttled,54.316667,10.166667,2252,19,6.17,118.53,Survived the war
U-60,IIC,1939-07-22,1945-05-05,Scuttled,53.528611,8.105556,2114,3,5.79,704.67,Survived the war
U-61,IIC,1939-08-12,1945-05-05,Scuttled,53.528611,8.105556,2093,5,5.73,418.6,Survived the war
U-62,IIC,1939-12-21,1945-05-05,Scuttled,53.528611,8.105556,1962,2,5.37,981,Survived the war
U-63,IIC,1940-01-18,1940-02-25,Sunk,58.666667,-0.166667,38,1,0.1,38,Did not survive the War
U-64,IXB,1939-12-16,1940-04-13,Sunk,68.548333,17.55,119,,0.33,,Did not survive the War
U-65,IXB,1940-02-15,1941-04-28,Sunk,60.066667,-15.75,438,12,1.2,36.5,Did not survive the War
U-66,IXC,1941-01-02,1944-05-06,Sunk,17.283333,-32.483333,1220,33,3.34,36.97,Did not survive the War
U-67,IXC,1941-01-22,1943-07-16,Sunk,30.083333,-44.283333,905,13,2.48,69.62,Did not survive the War
U-68,IXC,1941-02-11,1944-04-10,Sunk,33.4,-18.983333,1154,33,3.16,34.97,Did not survive the War
U-69,VIIC,1940-11-02,1943-02-17,Sunk,50.6,-41.116667,837,17,2.29,49.24,Did not survive the War
U-70,VIIC,1940-11-23,1941-03-07,Sunk,60.25,-14.0,104,1,0.28,104,Did not survive the War
U-71,VIIC,1940-12-14,1945-05-02,Scuttled,53.528611,8.105556,1600,5,4.38,320,Survived the war
U-72,VIIC,1941-01-04,1945-03-30,Sunk,53.08,8.46,1546,,4.23,,Did not survive the War
U-73,VIIB,1940-09-30,1943-12-16,Sunk,36.116667,-0.833333,1172,12,3.21,97.67,Did not survive the War
U-74,VIIB,1940-10-31,1942-05-02,Sunk,37.533333,0.166667,548,5,1.5,109.6,Did not survive the War
U-75,VIIB,1940-12-19,1941-12-28,Sunk,31.833333,26.666667,374,9,1.02,41.56,Did not survive the War
U-76,VIIB,1940-12-09,1941-04-05,Sunk,58.583333,-20.333333,117,2,0.32,58.5,Did not survive the War
U-77,VIIC,1941-01-18,1943-03-29,Sunk,38.644444,0.046111,800,15,2.19,53.33,Did not survive the War
U-78,VIIC,1941-02-15,1945-04-16,Sunk,54.65,19.916667,1521,,4.16,,Did not survive the War
U-79,VIIC,1941-03-13,1941-12-23,Sunk,32.212423,25.521036,285,3,0.78,95,Did not survive the War
U-80,VIIC,1941-04-08,1944-11-28,Sunk,54.4167,19.8333,1330,,3.64,,Did not survive the War
U-81,VIIC,1941-04-26,1944-04-22,Scrapped,44.866667,13.85,1092,26,2.99,42,Did not survive the War
U-82,VIIC,1941-05-14,1942-02-06,Sunk,40.050283,-23.419869,268,9,0.73,29.78,Did not survive the War
U-83,VIIB,1941-02-08,1943-03-04,Sunk,37.166667,0.083333,754,6,2.06,125.67,Did not survive the War
U-84,VIIB,1941-04-29,1943-08-07,Sunk,27.916667,-68.05,830,6,2.27,138.33,Did not survive the War
