UboatName,TypeOfUboat,TotalShipsSunked,Days_in_service,Days_per_ship
U-22,IIB,9,1315,146
U-859,IXD2,3,443,147
U-610,VIIC,4,596,149
U-630,VIIC,2,301,150
U-91,VIIC,5,759,151
U-703,VIIC,7,1066,152
U-333,VIIC,7,1071,153
U-861,IXD2,4,615,153
U-660,VIIC,2,308,154
U-208,VIIC,1,155,155
U-405,VIIC,5,775,155
U-662,VIIC,3,468,156
U-457,VIIC,2,315,157
U-960,VIIC,3,477,159
U-852,IXD2,2,323,161
U-527,IXC/40,2,324,162
U-217,VIID,3,490,163
U-571,VIIC,6,981,163
U-957,VIIC,4,653,163
U-1051,VIIC,2,328,164
U-230,VIIC,4,658,164
U-591,VIIC,4,659,164
U-223,VIIC,4,663,165
U-621,VIIC,5,834,166
U-88,VIIC,2,332,166
U-759,VIIC,2,334,167
U-1022,VIIC/41,2,336,168
U-667,VIIC,4,675,168
U-706,VIIC,3,504,168
U-131,IXC,1,169,169
U-245,VIIC,3,508,169
U-561,VIIC,5,851,170
U-52,VIIB,13,2280,175
U-184,IXC/40,1,176,176
U-438,VIIC,3,530,176
U-229,VIIC,2,354,177
U-609,VIIC,2,359,179
U-663,VIIC,2,359,179
U-13,IIB,9,1644,182
U-608,VIIC,5,917,183
U-30,VIIA,17,3131,184
U-191,IXC/40,1,185,185
U-581,VIIC,1,186,186
U-547,IXC/40,3,564,188
U-1017,VIIC/41,2,381,190
U-574,VIIC,1,190,190
U-755,VIIC,3,571,190
U-209,VIIC,3,573,191
U-252,VIIC,1,192,192
U-57,IIC,12,2317,193
U-603,VIIC,4,778,194
U-968,VIIC,4,783,195
U-25,IA,8,1579,197
U-563,VIIC,4,795,198
U-601,VIIC,4,799,199
U-242,VIIC,3,600,200
U-584,VIIC,4,801,200
U-952,VIIC,3,601,200
U-775,VIIC,2,412,206
U-645,VIIC,2,416,208
U-19,IIB,15,3161,210
U-300,VIIC/41,2,421,210
U-870,IXC/40,2,421,210
U-264,VIIC,3,638,212
U-179,IXD2,1,215,215
U-302,VIIC,3,660,220
U-633,VIIC,1,221,221
U-215,VIID,1,223,223
U-225,VIIC,1,226,226
U-757,VIIC,3,679,226
U-28,VIIA,12,2743,228
U-631,VIIC,2,458,229
U-250,VIIC,1,231,231
U-753,VIIC,3,694,231
U-135,VIIC,3,698,232
U-451,VIIC,1,232,232
U-29,VIIA,13,3092,237
U-45,VIIB,2,476,238
U-1305,VIIC/41,1,239,239
U-153,IXC,3,724,241
U-20,IIB,13,3144,241
U-426,VIIC,1,241,241
U-665,VIIC,1,243,243
U-638,VIIC,1,244,244
U-661,VIIC,1,245,245
U-764,VIIC,3,739,246
U-49,VIIB,1,247,247
U-705,VIIC,1,247,247
U-707,VIIC,2,496,248
U-214,VIID,4,998,249
U-613,VIIC,2,498,249
U-133,VIIC,1,252,252
U-168,IXC/40,3,757,252
U-565,VIIC,5,1269,253
U-134,VIIC,3,762,254
U-1004,VIIC/41,2,510,255
U-137,IID,7,1785,255
U-653,VIIC,4,1025,256
U-848,IXD2,1,258,258
U-1195,VIIC,2,520,260
U-550,IXC/40,1,263,263
U-370,VIIC,2,533,266
U-511,IXC,5,1332,266
U-196,IXD2,3,812,270
U-262,VIIC,4,1083,270
U-157,IXC,1,271,271
U-167,IXC/40,1,276,276
U-183,IXC/40,4,1118,279
U-35,VIIA,4,1121,280
U-767,VIIC,1,281,281
U-618,VIIC,3,851,283
U-1064,VIIC/41,1,284,284
U-354,VIIC,3,855,285
U-620,VIIC,1,289,289
U-594,VIIC,2,583,291
U-86,VIIB,3,874,291
U-745,VIIC,2,592,296
U-857,IXC/40,2,592,296
U-376,VIIC,2,594,297
U-997,VIIC/41,2,594,297
U-331,VIIC,2,596,298
U-598,VIIC,2,603,301
U-990,VIIC,1,302,302
U-334,VIIC,2,613,306
U-1018,VIIC/41,1,309,309
U-216,VIID,1,309,309
U-458,VIIC,2,618,309
U-144,IID,1,312,312
U-2322,XXIII,1,312,312
U-263,VIIC,2,624,312
U-247,VIIC,1,314,314
U-92,VIIC,3,946,315
U-303,VIIC,1,318,318
U-455,VIIC,3,958,319
U-1276,VIIC/41,1,320,320
U-549,IXC/40,1,320,320
U-71,VIIC,5,1600,320
U-23,IIB,9,2908,323
U-1208,VIIC,1,324,324
U-473,VIIC,1,325,325
U-58,IIC,7,2280,325
U-322,VIIC/41,1,328,328
U-414,VIIC,1,328,328
U-1023,VIIC/41,1,329,329
U-2321,XXIII,1,331,331
U-315,VIIC,2,669,334
U-407,VIIC,3,1006,335
U-853,IXC/40,2,681,340
U-1105,VIIC/41,1,341,341
U-415,VIIC,2,709,354
U-589,VIIC,1,354,354
U-36,VIIA,3,1083,361
U-468,VIIC,1,364,364
U-173,IXC,1,366,366
U-454,VIIC,2,738,369
U-373,VIIC,3,1113,371
U-806,IXC/40,1,372,372
U-306,VIIC,1,375,375
U-14,IIB,9,3395,377
U-525,IXC/40,1,377,377
U-716,VIIC,2,755,377
U-714,VIIC,2,763,381
U-616,VIIC,2,776,388
U-634,VIIC,1,389,389
U-403,VIIC,2,784,392
U-311,VIIC,1,396,396
U-310,VIIC,2,805,402
U-380,VIIC,2,810,405
U-679,VIIC,1,407,407
U-9,IIB,8,3287,410
U-1274,VIIC/41,1,411,411
U-984,VIIC,1,412,412
U-180,IXD1,2,830,415
U-275,VIIC,2,836,418
U-61,IIC,5,2093,418
U-958,VIIC,2,840,420
U-383,VIIC,1,421,421
U-278,VIIC,2,844,422
U-573,VIIC,1,423,423
U-523,IXC,1,426,426
U-141,IID,4,1718,429
U-399,VIIC,1,429,429
U-140,IID,4,1732,433
U-116,XB,1,437,437
U-307,VIIC,2,893,446
U-119,XB,1,448,448
U-1203,VIIC,1,454,454
U-226,VIIC,1,462,462
U-1230,IXC/40,1,465,465
U-1202,VIIC,1,468,468
U-722,VIIC,1,468,468
U-258,VIIC,1,470,470
U-15,IIB,3,1424,474
U-711,VIIC,2,951,475
U-602,VIIC,1,476,476
U-24,IIB,6,2876,479
U-390,VIIC,1,480,480
U-190,IXC/40,2,963,481
U-195,IXD1,2,970,485
U-804,IXC/40,1,492,492
U-741,VIIC,1,493,493
U-386,VIIC,1,497,497
U-614,VIIC,1,497,497
U-530,IXC/40,2,1000,500
U-193,IXC/40,1,501,501
U-868,IXC/40,1,503,503
U-483,VIIC,1,504,504
U-985,VIIC,1,510,510
U-659,VIIC,1,511,511
U-1227,IXC/40,1,512,512
U-1228,IXC/40,1,512,512
U-344,VIIC,1,515,515
U-21,IIB,6,3104,517
U-586,VIIC,2,1035,517
U-758,VIIC,2,1046,523
U-967,VIIC,1,527,527
U-666,VIIC,1,533,533
U-1165,VIIC/41,1,539,539
U-27,VIIA,2,1134,567
U-989,VIIC,1,573,573
U-1223,IXC/40,1,577,577
U-1163,VIIC/41,1,581,581
U-657,VIIC,1,586,586
U-56,IIC,4,2350,587
U-336,VIIC,1,598,598
U-211,VIIC,1,622,622
U-16,IIB,2,1257,628
U-642,VIIC,1,643,643
U-590,VIIC,1,645,645
U-992,VIIC,1,646,646
U-251,VIIC,2,1307,653
U-205,VIIC,1,655,655
U-548,IXC/40,1,659,659
U-763,VIIC,1,688,688
U-546,IXC/40,1,691,691
U-286,VIIC,1,694,694
U-802,IXC/40,1,699,699
U-60,IIC,3,2114,704
U-218,VIID,2,1411,705
U-270,VIIC,1,708,708
U-378,VIIC,1,720,720
U-979,VIIC,1,735,735
U-569,VIIC,1,744,744
U-843,IXC/40,1,747,747
U-541,IXC/40,1,780,780
U-739,VIIC,1,799,799
U-539,IXC/40,1,805,805
U-212,VIIC,1,818,818
U-4,IIA,4,3272,818
U-592,VIIC,1,837,837
U-406,VIIC,1,849,849
U-956,VIIC,1,858,858
U-441,VIIC,1,860,860
U-355,VIIC,1,885,885
U-636,VIIC,1,975,975
U-62,IIC,2,1962,981
U-637,VIIC,1,986,986
U-256,VIIC,1,1040,1040
U-170,IXC/40,1,1046,1046
U-18,IIB,3,3156,1052
U-260,VIIC,1,1094,1094
U-17,IIB,3,3441,1147
U-704,VIIC,1,1259,1259
U-10,IIB,2,3249,1624
U-3,IIA,2,3252,1626
U-146,IID,1,1648,1648
U-149,IID,1,1864,1864
U-143,IID,1,1921,1921
U-7,IIB,1,3137,3137
