UboatName,TypeOfUboat,Commissioned,Fate_Date,Days_in_service
U-576,VIIC,1941-01-01,1942-07-15,560
U-759,VIIC,1942-01-01,1943-07-15,560
U-487,XIV,1942-01-01,1943-07-13,558
U-1222,IXC/40,1943-01-01,1944-07-11,557
U-136,VIIC,1941-01-01,1942-07-11,556
U-232,VIIC,1942-01-01,1943-07-09,554
U-243,VIIC,1943-01-01,1944-07-08,554
U-678,VIIC,1943-01-01,1944-07-06,552
U-701,VIIC,1941-01-01,1942-07-07,552
U-951,VIIC,1942-01-01,1943-07-07,552
U-233,XB,1943-01-01,1944-07-05,551
U-390,VIIC,1943-01-01,1944-07-05,551
U-502,IXC,1941-01-01,1942-07-06,551
U-535,IXC/40,1942-01-01,1943-07-05,550
U-1191,VIIC,1943-01-01,1944-07-03,549
U-215,VIID,1941-01-01,1942-07-03,548
U-543,IXC/40,1943-01-01,1944-07-02,548
U-628,VIIC,1942-01-01,1943-07-03,548
U-478,VIIC,1943-01-01,1944-06-30,546
U-158,IXC,1941-01-01,1942-06-30,545
U-651,VIIC,1940-01-01,1941-06-29,545
U-556,VIIC,1940-01-01,1941-06-27,543
U-998,VIIC/41,1943-01-01,1944-06-27,543
U-317,VIIC/41,1943-01-01,1944-06-26,542
U-719,VIIC,1943-01-01,1944-06-26,542
U-971,VIIC,1943-01-01,1944-06-24,540
U-1225,IXC/40,1943-01-01,1944-06-24,540
U-119,XB,1942-01-01,1943-06-24,539
U-194,IXC/40,1942-01-01,1943-06-24,539
U-200,IXD2,1942-01-01,1943-06-24,539
U-449,VIIC,1942-01-01,1943-06-24,539
U-122,IXB,1939-01-01,1940-06-22,538
U-988,VIIC,1943-01-01,1944-06-22,538
U-388,VIIC,1942-01-01,1943-06-20,535
U-138,IID,1940-01-01,1941-06-18,534
U-767,VIIC,1943-01-01,1944-06-18,534
U-860,IXD2,1943-01-01,1944-06-15,531
U-987,VIIC,1943-01-01,1944-06-15,531
U-157,IXC,1941-01-01,1942-06-13,528
U-980,VIIC,1943-01-01,1944-06-11,527
U-417,VIIC,1942-01-01,1943-06-11,526
U-821,VIIC,1943-01-01,1944-06-10,526
U-970,VIIC,1943-01-01,1944-06-08,524
U-308,VIIC,1942-01-01,1943-06-04,519
U-477,VIIC,1943-01-01,1944-06-03,519
U-1277,VIIC/41,1944-01-01,1945-06-03,519
U-147,IID,1940-01-01,1941-06-02,518
U-521,IXC,1942-01-01,1943-06-02,517
U-652,VIIC,1941-01-01,1942-06-02,517
U-289,VIIC,1943-01-01,1944-05-31,516
U-418,VIIC,1942-01-01,1943-05-30,514
U-549,IXC/40,1943-01-01,1944-05-29,514
U-292,VIIC/41,1943-01-01,1944-05-27,512
U-304,VIIC,1942-01-01,1943-05-28,512
U-568,VIIC,1941-01-01,1942-05-28,512
U-476,VIIC,1943-01-01,1944-05-25,510
U-990,VIIC,1943-01-01,1944-05-25,510
U-414,VIIC,1942-01-01,1943-05-25,509
U-467,VIIC,1942-01-01,1943-05-25,509
U-675,VIIC,1943-01-01,1944-05-24,509
U-303,VIIC,1942-01-01,1943-05-21,505
U-241,VIIC,1943-01-01,1944-05-18,503
U-273,VIIC,1942-01-01,1943-05-19,503
U-954,VIIC,1942-01-01,1943-05-19,503
U-646,VIIC,1942-01-01,1943-05-17,501
U-776,VIIC,1944-01-01,1945-05-16,501
U-182,IXD2,1942-01-01,1943-05-16,500
U-2336,XXIII,1944-01-01,1945-05-15,500
U-266,VIIC,1942-01-01,1943-05-15,499
U-1010,VIIC/41,1944-01-01,1945-05-14,499
U-1015,VIIC/41,1944-01-01,1945-05-14,499
U-1110,VIIC/41,1944-01-01,1945-05-14,499
U-2326,XXIII,1944-01-01,1945-05-14,499
U-640,VIIC,1942-01-01,1943-05-14,498
U-825,VIIC,1944-01-01,1945-05-13,498
U-889,IXC/40,1944-01-01,1945-05-13,498
U-1102,VIIC,1944-01-01,1945-05-13,498
U-1224,IXC/40,1943-01-01,1944-05-13,498
U-485,VIIC,1944-01-01,1945-05-12,497
U-1109,VIIC/41,1944-01-01,1945-05-12,497
U-186,IXC/40,1942-01-01,1943-05-12,496
U-826,VIIC,1944-01-01,1945-05-11,496
U-3008,XXI,1944-01-01,1945-05-11,496
U-528,IXC/40,1942-01-01,1943-05-11,495
U-1009,VIIC/41,1944-01-01,1945-05-10,495
U-1023,VIIC/41,1944-01-01,1945-05-10,495
U-1058,VIIC,1944-01-01,1945-05-10,495
U-1105,VIIC/41,1944-01-01,1945-05-10,495
U-1305,VIIC/41,1944-01-01,1945-05-10,495
U-110,IXB,1940-01-01,1941-05-09,494
U-324,VIIC/41,1944-01-01,1945-05-09,494
U-328,VIIC/41,1944-01-01,1945-05-09,494
U-381,VIIC,1942-01-01,1943-05-10,494
U-778,VIIC,1944-01-01,1945-05-09,494
U-907,VIIC,1944-01-01,1945-05-09,494
U-928,VIIC,1944-01-01,1945-05-09,494
U-930,VIIC/41,1944-01-01,1945-05-09,494
U-1019,VIIC/41,1944-01-01,1945-05-09,494
U-1022,VIIC/41,1944-01-01,1945-05-09,494
U-1052,VIIC,1944-01-01,1945-05-09,494
U-1057,VIIC,1944-01-01,1945-05-09,494
U-1064,VIIC/41,1944-01-01,1945-05-09,494
U-1108,VIIC/41,1944-01-01,1945-05-09,494
U-1307,VIIC/41,1944-01-01,1945-05-09,494
U-2321,XXIII,1944-01-01,1945-05-09,494
U-2322,XXIII,1944-01-01,1945-05-09,494
U-2324,XXIII,1944-01-01,1945-05-09,494
U-2325,XXIII,1944-01-01,1945-05-09,494
U-2328,XXIII,1944-01-01,1945-05-09,494
U-2329,XXIII,1944-01-01,1945-05-09,494
U-2334,XXIII,1944-01-01,1945-05-09,494
U-2335,XXIII,1944-01-01,1945-05-09,494
U-2337,XXIII,1944-01-01,1945-05-09,494
U-2345,XXIII,1944-01-01,1945-05-09,494
U-2348,XXIII,1944-01-01,1945-05-09,494
U-2350,XXIII,1944-01-01,1945-05-09,494
U-2353,XXIII,1944-01-01,1945-05-09,494
U-2354,XXIII,1944-01-01,1945-05-09,494
U-2502,XXI,1944-01-01,1945-05-09,494
U-2506,XXI,1944-01-01,1945-05-09,494
U-2511,XXI,1944-01-01,1945-05-09,494
U-2513,XXI,1944-01-01,1945-05-09,494
U-2518,XXI,1944-01-01,1945-05-09,494
U-2529,XXI,1944-01-01,1945-05-09,494
U-3017,XXI,1944-01-01,1945-05-09,494
U-3514,XXI,1944-01-01,1945-05-09,494
U-3515,XXI,1944-01-01,1945-05-09,494
U-352,VIIC,1941-01-01,1942-05-09,493
U-3030,XXI,1944-01-01,1945-05-08,493
U-3503,XXI,1944-01-01,1945-05-08,493
U-663,VIIC,1942-01-01,1943-05-08,492
U-447,VIIC,1942-01-01,1943-05-07,491
U-473,VIIC,1943-01-01,1944-05-06,491
U-765,VIIC,1943-01-01,1944-05-06,491
U-881,IXC/40,1944-01-01,1945-05-06,491
U-3523,XXI,1944-01-01,1945-05-06,491
U-192,IXC/40,1942-01-01,1943-05-06,490
U-323,VIIC/41,1944-01-01,1945-05-05,490
U-531,IXC/40,1942-01-01,1943-05-06,490
U-630,VIIC,1942-01-01,1943-05-06,490
U-779,VIIC,1944-01-01,1945-05-05,490
U-822,VIIC,1944-01-01,1945-05-05,490
U-827,VIIC/41,1944-01-01,1945-05-05,490
U-828,VIIC/41,1944-01-01,1945-05-05,490
U-883,IXD/42,1944-01-01,1945-05-05,490
U-1016,VIIC/41,1944-01-01,1945-05-05,490
U-1025,VIIC/41,1944-01-01,1945-05-05,490
U-1056,VIIC,1944-01-01,1945-05-05,490
U-1132,VIIC,1944-01-01,1945-05-05,490
U-1207,VIIC,1944-01-01,1945-05-05,490
U-1234,IXC/40,1944-01-01,1945-05-05,490
U-1303,VIIC/41,1944-01-01,1945-05-05,490
U-1304,VIIC/41,1944-01-01,1945-05-05,490
U-1306,VIIC/41,1944-01-01,1945-05-05,490
U-1405,XVIIB,1944-01-01,1945-05-05,490
U-2333,XXIII,1944-01-01,1945-05-05,490
U-2339,XXIII,1944-01-01,1945-05-05,490
U-2341,XXIII,1944-01-01,1945-05-05,490
U-2343,XXIII,1944-01-01,1945-05-05,490
U-2346,XXIII,1944-01-01,1945-05-05,490
U-2347,XXIII,1944-01-01,1945-05-05,490
U-2349,XXIII,1944-01-01,1945-05-05,490
U-2351,XXIII,1944-01-01,1945-05-05,490
U-2352,XXIII,1944-01-01,1945-05-05,490
U-2356,XXIII,1944-01-01,1945-05-05,490
U-2357,XXIII,1944-01-01,1945-05-05,490
U-2358,XXIII,1944-01-01,1945-05-05,490
U-2360,XXIII,1944-01-01,1945-05-05,490
U-2507,XXI,1944-01-01,1945-05-05,490
U-2517,XXI,1944-01-01,1945-05-05,490
U-2522,XXI,1944-01-01,1945-05-05,490
U-2525,XXI,1944-01-01,1945-05-05,490
U-3015,XXI,1944-01-01,1945-05-05,490
U-3022,XXI,1944-01-01,1945-05-05,490
U-3510,XXI,1944-01-01,1945-05-05,490
U-3524,XXI,1944-01-01,1945-05-05,490
U-3526,XXI,1944-01-01,1945-05-05,490
U-4701,XXIII,1944-01-01,1945-05-05,490
U-4702,XXIII,1944-01-01,1945-05-05,490
U-638,VIIC,1942-01-01,1943-05-05,489
U-793,XVIIA,1944-01-01,1945-05-04,489
U-846,IXC/40,1943-01-01,1944-05-04,489
U-2338,XXIII,1944-01-01,1945-05-04,489
U-2503,XXI,1944-01-01,1945-05-04,489
U-795,XVIIA,1944-01-01,1945-05-03,488
U-852,IXD2,1943-01-01,1944-05-03,488
U-876,IXD2,1944-01-01,1945-05-03,488
U-1210,VIIC,1944-01-01,1945-05-03,488
U-1275,VIIC/41,1944-01-01,1945-05-03,488
U-2330,XXIII,1944-01-01,1945-05-03,488
U-2332,XXIII,1944-01-01,1945-05-03,488
U-2355,XXIII,1944-01-01,1945-05-03,488
U-2501,XXI,1944-01-01,1945-05-03,488
U-2504,XXI,1944-01-01,1945-05-03,488
U-2505,XXI,1944-01-01,1945-05-03,488
U-2508,XXI,1944-01-01,1945-05-03,488
U-2512,XXI,1944-01-01,1945-05-03,488
U-2519,XXI,1944-01-01,1945-05-03,488
U-2520,XXI,1944-01-01,1945-05-03,488
U-2521,XXI,1944-01-01,1945-05-03,488
U-2524,XXI,1944-01-01,1945-05-03,488
U-2533,XXI,1944-01-01,1945-05-03,488
U-2534,XXI,1944-01-01,1945-05-03,488
U-3001,XXI,1944-01-01,1945-05-03,488
U-3003,XXI,1944-01-01,1945-05-03,488
U-3004,XXI,1944-01-01,1945-05-03,488
U-3005,XXI,1944-01-01,1945-05-03,488
U-3010,XXI,1944-01-01,1945-05-03,488
U-3012,XXI,1944-01-01,1945-05-03,488
U-3013,XXI,1944-01-01,1945-05-03,488
U-3014,XXI,1944-01-01,1945-05-03,488
U-3023,XXI,1944-01-01,1945-05-03,488
U-3024,XXI,1944-01-01,1945-05-03,488
U-3025,XXI,1944-01-01,1945-05-03,488
U-3026,XXI,1944-01-01,1945-05-03,488
U-3027,XXI,1944-01-01,1945-05-03,488
U-3028,XXI,1944-01-01,1945-05-03,488
U-3029,XXI,1944-01-01,1945-05-03,488
U-3502,XXI,1944-01-01,1945-05-03,488
U-3506,XXI,1944-01-01,1945-05-03,488
U-3507,XXI,1944-01-01,1945-05-03,488
U-3509,XXI,1944-01-01,1945-05-03,488
U-3511,XXI,1944-01-01,1945-05-03,488
U-3513,XXI,1944-01-01,1945-05-03,488
U-3518,XXI,1944-01-01,1945-05-03,488
U-3525,XXI,1944-01-01,1945-05-03,488
U-674,VIIC,1943-01-01,1944-05-02,487
U-2327,XXIII,1944-01-01,1945-05-02,487
U-2359,XXIII,1944-01-01,1945-05-02,487
U-2510,XXI,1944-01-01,1945-05-02,487
U-2526,XXI,1944-01-01,1945-05-02,487
U-2527,XXI,1944-01-01,1945-05-02,487
U-2528,XXI,1944-01-01,1945-05-02,487
U-2531,XXI,1944-01-01,1945-05-02,487
U-2535,XXI,1944-01-01,1945-05-02,487
U-2536,XXI,1944-01-01,1945-05-02,487
U-3002,XXI,1944-01-01,1945-05-02,487
U-3011,XXI,1944-01-01,1945-05-02,487
U-3016,XXI,1944-01-01,1945-05-02,487
U-3018,XXI,1944-01-01,1945-05-02,487
U-3019,XXI,1944-01-01,1945-05-02,487
U-3020,XXI,1944-01-01,1945-05-02,487
U-3021,XXI,1944-01-01,1945-05-02,487
U-3504,XXI,1944-01-01,1945-05-02,487
U-3516,XXI,1944-01-01,1945-05-02,487
U-3517,XXI,1944-01-01,1945-05-02,487
U-3521,XXI,1944-01-01,1945-05-02,487
U-3522,XXI,1944-01-01,1945-05-02,487
U-465,VIIC,1942-01-01,1943-05-02,486
U-929,VIIC/41,1944-01-01,1945-05-01,486
U-1308,VIIC/41,1944-01-01,1945-05-01,486
U-3006,XXI,1944-01-01,1945-05-01,486
U-3009,XXI,1944-01-01,1945-05-01,486
U-3501,XXI,1944-01-01,1945-05-01,486
U-325,VIIC/41,1944-01-01,1945-04-30,485
U-326,VIIC/41,1944-01-01,1945-04-30,485
U-879,IXC/40,1944-01-01,1945-04-30,485
U-1107,VIIC/41,1944-01-01,1945-04-30,485
U-227,VIIC,1942-01-01,1943-04-30,484
U-1017,VIIC/41,1944-01-01,1945-04-29,484
U-65,IXB,1940-01-01,1941-04-28,483
U-803,IXC/40,1943-01-01,1944-04-27,482
U-710,VIIC,1942-01-01,1943-04-24,478
U-1055,VIIC,1944-01-01,1945-04-23,478
U-189,IXC/40,1942-01-01,1943-04-23,477
U-191,IXC/40,1942-01-01,1943-04-23,477
U-311,VIIC,1943-01-01,1944-04-22,477
U-974,VIIC,1943-01-01,1944-04-19,474
U-550,IXC/40,1943-01-01,1944-04-16,471
U-880,IXC/40,1944-01-01,1945-04-16,471
U-1274,VIIC/41,1944-01-01,1945-04-16,471
U-49,VIIB,1939-01-01,1940-04-15,470
U-1063,VIIC/41,1944-01-01,1945-04-15,470
U-1235,IXC/40,1944-01-01,1945-04-15,470
U-64,IXB,1939-01-01,1940-04-13,468
U-85,VIIB,1941-01-01,1942-04-14,468
U-252,VIIC,1941-01-01,1942-04-14,468
U-526,IXC/40,1942-01-01,1943-04-14,468
U-486,VIIC,1944-01-01,1945-04-12,467
U-1024,VIIC/41,1944-01-01,1945-04-12,467
U-878,IXC/40,1944-01-01,1945-04-10,465
U-986,VIIC,1943-01-01,1944-04-10,465
U-1065,VIIC/41,1944-01-01,1945-04-09,464
U-2516,XXI,1944-01-01,1945-04-09,464
U-2509,XXI,1944-01-01,1945-04-08,463
U-2514,XXI,1944-01-01,1945-04-08,463
U-3512,XXI,1944-01-01,1945-04-08,463
U-856,IXC/40,1943-01-01,1944-04-07,462
U-50,VIIB,1939-01-01,1940-04-06,461
U-644,VIIC,1942-01-01,1943-04-07,461
U-76,VIIB,1940-01-01,1941-04-05,460
U-167,IXC/40,1942-01-01,1943-04-06,460
U-632,VIIC,1942-01-01,1943-04-06,460
U-635,VIIC,1942-01-01,1943-04-05,459
U-288,VIIC,1943-01-01,1944-04-03,458
U-3505,XXI,1944-01-01,1945-04-03,458
U-702,VIIC,1941-01-01,1942-03-31,454
U-1131,VIIC,1944-01-01,1945-03-30,454
U-2340,XXIII,1944-01-01,1945-03-30,454
U-585,VIIC,1941-01-01,1942-03-30,453
U-1106,VIIC/41,1944-01-01,1945-03-29,453
U-851,IXD2,1943-01-01,1944-03-27,451
U-169,IXC/40,1942-01-01,1943-03-27,450
U-587,VIIC,1941-01-01,1942-03-27,450
U-976,VIIC,1943-01-01,1944-03-25,449
U-469,VIIC,1942-01-01,1943-03-25,448
U-551,VIIC,1940-01-01,1941-03-23,447
U-655,VIIC,1941-01-01,1942-03-24,447
U-524,IXC,1942-01-01,1943-03-22,445
U-665,VIIC,1942-01-01,1943-03-22,445
U-1059,VIIF,1943-01-01,1944-03-19,443
U-384,VIIC,1942-01-01,1943-03-19,442
U-99,VIIB,1940-01-01,1941-03-17,441
U-100,VIIB,1940-01-01,1941-03-17,441
U-392,VIIC,1943-01-01,1944-03-16,440
U-503,IXC,1941-01-01,1942-03-15,438
U-1021,VIIC/41,1944-01-01,1945-03-14,438
U-44,IXA,1939-01-01,1940-03-13,437
U-133,VIIC,1941-01-01,1942-03-14,437
U-682,VIIC,1944-01-01,1945-03-11,435
U-444,VIIC,1942-01-01,1943-03-11,434
U-845,IXC/40,1943-01-01,1944-03-10,434
U-70,VIIC,1940-01-01,1941-03-07,431
U-633,VIIC,1942-01-01,1943-03-08,431
U-1302,VIIC/41,1944-01-01,1945-03-07,431
U-744,VIIC,1943-01-01,1944-03-06,430
U-973,VIIC,1943-01-01,1944-03-06,430
U-366,VIIC,1943-01-01,1944-03-05,429
U-472,VIIC,1943-01-01,1944-03-04,428
U-3508,XXI,1944-01-01,1945-03-04,428
U-3519,XXI,1944-01-01,1945-03-02,426
U-656,VIIC,1941-01-01,1942-03-01,424
U-1018,VIIC/41,1944-01-01,1945-02-27,423
U-1279,VIIC/41,1944-01-01,1945-02-27,423
U-63,IIC,1939-01-01,1940-02-25,420
U-927,VIIC,1944-01-01,1945-02-24,420
U-1208,VIIC,1944-01-01,1945-02-24,420
U-3007,XXI,1944-01-01,1945-02-24,420
U-53,VIIB,1939-01-01,1940-02-24,419
U-649,VIIC,1942-01-01,1943-02-24,419
U-443,VIIC,1942-01-01,1943-02-23,418
U-522,IXC,1942-01-01,1943-02-23,418
U-225,VIIC,1942-01-01,1943-02-22,417
U-623,VIIC,1942-01-01,1943-02-21,416
U-683,VIIC,1944-01-01,1945-02-20,416
U-1276,VIIC/41,1944-01-01,1945-02-20,416
U-2530,XXI,1944-01-01,1945-02-20,416
U-268,VIIC,1942-01-01,1943-02-19,414
U-2344,XXIII,1944-01-01,1945-02-18,414
U-1273,VIIC/41,1944-01-01,1945-02-17,413
U-1278,VIIC/41,1944-01-01,1945-02-17,413
U-1053,VIIC,1944-01-01,1945-02-15,411
U-529,IXC/40,1942-01-01,1943-02-15,410
U-54,VIIB,1939-01-01,1940-02-13,408
U-620,VIIC,1942-01-01,1943-02-13,408
U-442,VIIC,1942-01-01,1943-02-12,407
U-283,VIIC,1943-01-01,1944-02-11,406
U-545,IXC/40,1943-01-01,1944-02-10,405
U-238,VIIC,1943-01-01,1944-02-09,404
U-624,VIIC,1942-01-01,1943-02-07,402
U-82,VIIC,1941-01-01,1942-02-06,401
U-41,IXA,1939-01-01,1940-02-05,400
U-1014,VIIC/41,1944-01-01,1945-02-04,400
U-327,VIIC/41,1944-01-01,1945-02-03,399
U-854,IXC/40,1943-01-01,1944-02-04,399
U-265,VIIC,1942-01-01,1943-02-03,398
U-581,VIIC,1941-01-01,1942-02-02,397
U-3520,XXI,1944-01-01,1945-01-31,396
U-519,IXC,1942-01-01,1943-01-31,395
U-55,VIIB,1939-01-01,1940-01-30,394
U-314,VIIC,1943-01-01,1944-01-30,394
U-364,VIIC,1943-01-01,1944-01-29,393
U-1051,VIIC,1944-01-01,1945-01-26,391
U-301,VIIC,1942-01-01,1943-01-21,385
U-2515,XXI,1944-01-01,1945-01-17,382
U-2523,XXI,1944-01-01,1945-01-17,382
U-544,IXC/40,1943-01-01,1944-01-16,380
U-577,VIIC,1941-01-01,1942-01-15,379
U-224,VIIC,1942-01-01,1943-01-13,377
U-374,VIIC,1941-01-01,1942-01-12,376
U-1020,VIIC/41,1944-01-01,1945-01-09,374
U-426,VIIC,1943-01-01,1944-01-08,372
U-337,VIIC,1942-01-01,1943-01-03,367
U-512,IXC,1941-01-01,1942-01-02,366
U-2342,XXIII,1944-01-01,1944-12-26,360
U-357,VIIC,1942-01-01,1942-12-26,359
U-79,VIIC,1941-01-01,1941-12-23,356
U-284,VIIC,1943-01-01,1943-12-21,354
U-451,VIIC,1941-01-01,1941-12-21,354
U-567,VIIC,1941-01-01,1941-12-21,354
U-574,VIIC,1941-01-01,1941-12-19,352
U-1209,VIIC,1944-01-01,1944-12-18,352
U-434,VIIC,1941-01-01,1941-12-18,351
U-131,IXC,1941-01-01,1941-12-17,350
U-400,VIIC,1944-01-01,1944-12-15,349
U-127,IXC,1941-01-01,1941-12-15,348
U-972,VIIC,1943-01-01,1943-12-15,348
U-626,VIIC,1942-01-01,1942-12-14,347
U-345,VIIC,1943-01-01,1943-12-13,346
U-391,VIIC,1943-01-01,1943-12-13,346
U-611,VIIC,1942-01-01,1942-12-08,341
U-208,VIIC,1941-01-01,1941-12-07,340
U-104,IXB,1940-01-01,1940-11-28,332
U-206,VIIC,1941-01-01,1941-11-29,332
U-542,IXC/40,1943-01-01,1943-11-28,331
U-184,IXC/40,1942-01-01,1942-11-21,324
U-768,VIIC,1943-01-01,1943-11-20,323
U-718,VIIC,1943-01-01,1943-11-18,321
U-280,VIIC,1943-01-01,1943-11-16,319
U-433,VIIC,1941-01-01,1941-11-16,319
U-583,VIIC,1941-01-01,1941-11-15,318
U-272,VIIC,1942-01-01,1942-11-12,315
U-580,VIIC,1941-01-01,1941-11-11,314
U-966,VIIC,1943-01-01,1943-11-10,313
U-520,IXC,1942-01-01,1942-10-30,302
U-282,VIIC,1943-01-01,1943-10-29,301
U-220,XB,1943-01-01,1943-10-28,300
U-627,VIIC,1942-01-01,1942-10-27,299
U-204,VIIC,1941-01-01,1941-10-19,291
U-777,VIIC,1944-01-01,1944-10-15,288
U-42,IXA,1939-01-01,1939-10-13,285
U-2331,XXIII,1944-01-01,1944-10-10,283
U-619,VIIC,1942-01-01,1942-10-05,277
U-346,VIIC,1943-01-01,1943-09-20,262
U-1054,VIIC,1944-01-01,1944-09-16,259
U-261,VIIC,1942-01-01,1942-09-15,257
U-207,VIIC,1941-01-01,1941-09-11,253
U-501,IXC,1941-01-01,1941-09-10,252
U-983,VIIC,1943-01-01,1943-09-08,250
U-222,VIIC,1942-01-01,1942-09-02,244
U-756,VIIC,1941-01-01,1941-09-01,243
U-570,VIIC,1941-01-01,1941-08-27,238
U-452,VIIC,1941-01-01,1941-08-25,236
U-2323,XXIII,1944-01-01,1944-07-26,207
U-102,VIIB,1940-01-01,1940-07-01,182
U-2361,XXIII,1945-01-01,1945-05-09,128
U-2363,XXIII,1945-01-01,1945-05-09,128
U-3035,XXI,1945-01-01,1945-05-09,128
U-3041,XXI,1945-01-01,1945-05-09,128
U-4706,XXIII,1945-01-01,1945-05-09,128
U-2365,XXIII,1945-01-01,1945-05-08,127
U-2538,XXI,1945-01-01,1945-05-08,127
U-1406,XVIIB,1945-01-01,1945-05-05,124
U-1407,XVIIB,1945-01-01,1945-05-05,124
U-2362,XXIII,1945-01-01,1945-05-05,124
U-2364,XXIII,1945-01-01,1945-05-05,124
U-2366,XXIII,1945-01-01,1945-05-05,124
U-2367,XXIII,1945-01-01,1945-05-05,124
U-2368,XXIII,1945-01-01,1945-05-05,124
U-2369,XXIII,1945-01-01,1945-05-05,124
U-2541,XXI,1945-01-01,1945-05-05,124
U-2544,XXI,1945-01-01,1945-05-05,124
U-2551,XXI,1945-01-01,1945-05-05,124
U-3044,XXI,1945-01-01,1945-05-05,124
U-3527,XXI,1945-01-01,1945-05-05,124
U-3528,XXI,1945-01-01,1945-05-05,124
U-3529,XXI,1945-01-01,1945-05-05,124
U-4703,XXIII,1945-01-01,1945-05-05,124
U-4704,XXIII,1945-01-01,1945-05-05,124
U-4707,XXIII,1945-01-01,1945-05-05,124
U-4710,XXIII,1945-01-01,1945-05-05,124
U-2540,XXI,1945-01-01,1945-05-04,123
U-3033,XXI,1945-01-01,1945-05-04,123
U-3034,XXI,1945-01-01,1945-05-04,123
U-4709,XXIII,1945-01-01,1945-05-04,123
U-4711,XXIII,1945-01-01,1945-05-04,123
U-2371,XXIII,1945-01-01,1945-05-03,122
U-2539,XXI,1945-01-01,1945-05-03,122
U-2542,XXI,1945-01-01,1945-05-03,122
U-2543,XXI,1945-01-01,1945-05-03,122
U-2545,XXI,1945-01-01,1945-05-03,122
U-2546,XXI,1945-01-01,1945-05-03,122
U-2548,XXI,1945-01-01,1945-05-03,122
U-2552,XXI,1945-01-01,1945-05-03,122
U-3031,XXI,1945-01-01,1945-05-03,122
U-3032,XXI,1945-01-01,1945-05-03,122
U-3037,XXI,1945-01-01,1945-05-03,122
U-3038,XXI,1945-01-01,1945-05-03,122
U-3039,XXI,1945-01-01,1945-05-03,122
U-3040,XXI,1945-01-01,1945-05-03,122
U-3530,XXI,1945-01-01,1945-05-03,122
U-4705,XXIII,1945-01-01,1945-05-03,122
U-4712,XXIII,1945-01-01,1945-05-03,122
U-1013,VIIC/41,1944-01-01,1944-03-17,76
