UboatName,TypeOfUboat,Commissioned,Fate_Date,Days_in_service
U-514,IXC,1941-01-01,1943-07-08,918
U-642,VIIC,1942-01-01,1944-07-05,916
U-269,VIIC,1942-01-01,1944-06-25,906
U-423,VIIC,1942-01-01,1944-06-17,898
U-334,VIIC,1941-01-01,1943-06-14,894
U-564,VIIC,1941-01-01,1943-06-14,894
U-715,VIIC,1942-01-01,1944-06-13,894
U-490,XIV,1942-01-01,1944-06-12,893
U-118,XB,1941-01-01,1943-06-12,892
U-740,VIIC,1942-01-01,1944-06-08,889
U-629,VIIC,1942-01-01,1944-06-07,888
U-955,VIIC,1942-01-01,1944-06-07,888
U-217,VIID,1941-01-01,1943-06-05,885
U-594,VIIC,1941-01-01,1943-06-05,885
U-202,VIIC,1941-01-01,1943-06-02,882
U-440,VIIC,1941-01-01,1943-05-31,880
U-563,VIIC,1941-01-01,1943-05-31,880
U-755,VIIC,1941-01-01,1943-05-28,877
U-436,VIIC,1941-01-01,1943-05-26,875
U-979,VIIC,1943-01-01,1945-05-24,874
U-752,VIIC,1941-01-01,1943-05-23,872
U-569,VIIC,1941-01-01,1943-05-22,871
U-234,XB,1943-01-01,1945-05-19,869
U-258,VIIC,1941-01-01,1943-05-20,869
U-960,VIIC,1942-01-01,1944-05-19,869
U-616,VIIC,1942-01-01,1944-05-17,867
U-1228,IXC/40,1943-01-01,1945-05-17,867
U-128,IXC,1941-01-01,1943-05-17,866
U-287,VIIC,1943-01-01,1945-05-16,866
U-657,VIIC,1941-01-01,1943-05-17,866
U-873,IXD2,1943-01-01,1945-05-16,866
U-240,VIIC,1943-01-01,1945-05-15,865
U-463,XIV,1941-01-01,1943-05-16,865
U-731,VIIC,1942-01-01,1944-05-15,865
U-805,IXC/40,1943-01-01,1945-05-15,865
U-901,VIIC,1943-01-01,1945-05-15,865
U-176,IXC,1941-01-01,1943-05-15,864
U-244,VIIC,1943-01-01,1945-05-14,864
U-764,VIIC,1943-01-01,1945-05-14,864
U-858,IXC/40,1943-01-01,1945-05-14,864
U-1005,VIIC/41,1943-01-01,1945-05-14,864
U-1231,IXC/40,1943-01-01,1945-05-13,863
U-541,IXC/40,1943-01-01,1945-05-12,862
U-753,VIIC,1941-01-01,1943-05-13,862
U-89,VIIC,1941-01-01,1943-05-12,861
U-293,VIIC/41,1943-01-01,1945-05-11,861
U-456,VIIC,1941-01-01,1943-05-12,861
U-249,VIIC,1943-01-01,1945-05-10,860
U-1272,VIIC/41,1943-01-01,1945-05-10,860
U-245,VIIC,1943-01-01,1945-05-09,859
U-281,VIIC,1943-01-01,1945-05-09,859
U-294,VIIC/41,1943-01-01,1945-05-09,859
U-295,VIIC/41,1943-01-01,1945-05-09,859
U-298,VIIC/41,1943-01-01,1945-05-09,859
U-299,VIIC/41,1943-01-01,1945-05-09,859
U-310,VIIC,1943-01-01,1945-05-09,859
U-312,VIIC,1943-01-01,1945-05-09,859
U-313,VIIC,1943-01-01,1945-05-09,859
U-315,VIIC,1943-01-01,1945-05-09,859
U-318,VIIC/41,1943-01-01,1945-05-09,859
U-369,VIIC,1943-01-01,1945-05-09,859
U-427,VIIC,1943-01-01,1945-05-09,859
U-481,VIIC,1943-01-01,1945-05-09,859
U-483,VIIC,1943-01-01,1945-05-09,859
U-677,VIIC,1943-01-01,1945-05-09,859
U-716,VIIC,1943-01-01,1945-05-09,859
U-773,VIIC,1943-01-01,1945-05-09,859
U-775,VIIC,1943-01-01,1945-05-09,859
U-861,IXD2,1943-01-01,1945-05-09,859
U-868,IXC/40,1943-01-01,1945-05-09,859
U-874,IXD2,1943-01-01,1945-05-09,859
U-875,IXD2,1943-01-01,1945-05-09,859
U-926,VIIC,1943-01-01,1945-05-09,859
U-968,VIIC,1943-01-01,1945-05-09,859
U-975,VIIC,1943-01-01,1945-05-09,859
U-978,VIIC,1943-01-01,1945-05-09,859
U-991,VIIC,1943-01-01,1945-05-09,859
U-992,VIIC,1943-01-01,1945-05-09,859
U-994,VIIC,1943-01-01,1945-05-09,859
U-995,VIIC/41,1943-01-01,1945-05-09,859
U-997,VIIC/41,1943-01-01,1945-05-09,859
U-1002,VIIC/41,1943-01-01,1945-05-09,859
U-1004,VIIC/41,1943-01-01,1945-05-09,859
U-1061,VIIF,1943-01-01,1945-05-09,859
U-1104,VIIC/41,1943-01-01,1945-05-09,859
U-1163,VIIC/41,1943-01-01,1945-05-09,859
U-1165,VIIC/41,1943-01-01,1945-05-09,859
U-1171,VIIC/41,1943-01-01,1945-05-09,859
U-1194,VIIC,1943-01-01,1945-05-09,859
U-1202,VIIC,1943-01-01,1945-05-09,859
U-1203,VIIC,1943-01-01,1945-05-09,859
U-1271,VIIC/41,1943-01-01,1945-05-09,859
U-1301,VIIC/41,1943-01-01,1945-05-09,859
U-320,VIIC/41,1943-01-01,1945-05-08,858
U-1198,VIIC,1943-01-01,1945-05-08,858
U-209,VIIC,1941-01-01,1943-05-07,856
U-806,IXC/40,1943-01-01,1945-05-06,856
U-853,IXC/40,1943-01-01,1945-05-06,856
U-1008,VIIC/41,1943-01-01,1945-05-06,856
U-290,VIIC,1943-01-01,1945-05-05,855
U-291,VIIC,1943-01-01,1945-05-05,855
U-349,VIIC,1943-01-01,1945-05-05,855
U-368,VIIC,1943-01-01,1945-05-05,855
U-370,VIIC,1943-01-01,1945-05-05,855
