UboatName,TotalShipsSunked,Days_in_service,Days_per_ship,FateDate,WarOutCome
U-759,2,560,280,1943-07-15,Did not survive the War
U-76,2,460,230,1941-04-05,Did not survive the War
U-760,0,615,,1943-09-08,Did not survive the War
U-761,0,784,,1944-02-24,Did not survive the War
U-762,0,768,,1944-02-08,Did not survive the War
U-763,1,759,759,1945-01-29,Did not survive the War
U-764,3,864,288,1945-05-14,Survived the war
U-765,0,491,,1944-05-06,Did not survive the War
U-766,0,601,,1944-08-24,Did not survive the War
U-767,1,534,534,1944-06-18,Did not survive the War
U-768,0,323,,1943-11-20,Did not survive the War
U-77,15,1183,78,1943-03-29,Did not survive the War
U-771,0,680,,1944-11-11,Did not survive the War
U-772,0,716,,1944-12-17,Did not survive the War
U-773,0,859,,1945-05-09,Survived the war
U-774,0,828,,1945-04-08,Did not survive the War
U-775,2,859,429,1945-05-09,Survived the war
U-776,0,501,,1945-05-16,Survived the war
U-777,0,288,,1944-10-15,Did not survive the War
U-778,0,494,,1945-05-09,Survived the war
U-779,0,490,,1945-05-05,Survived the war
U-78,0,1932,,1945-04-16,Did not survive the War
U-79,3,356,118,1941-12-23,Did not survive the War
U-792,0,854,,1945-05-04,Survived the war
U-793,0,489,,1945-05-04,Survived the war
U-794,0,855,,1945-05-05,Survived the war
U-795,0,488,,1945-05-03,Survived the war
U-8,0,3777,,1945-05-05,Survived the war
U-80,0,1427,,1944-11-28,Did not survive the War
U-801,0,806,,1944-03-17,Did not survive the War
U-802,1,1226,1226,1945-05-11,Survived the war
U-803,0,482,,1944-04-27,Did not survive the War
U-804,1,829,829,1945-04-09,Did not survive the War
U-805,0,865,,1945-05-15,Survived the war
U-806,1,856,856,1945-05-06,Survived the war
U-81,26,1207,46,1944-04-22,Did not survive the War
U-82,9,401,44,1942-02-06,Did not survive the War
U-821,0,526,,1944-06-10,Did not survive the War
U-822,0,490,,1945-05-05,Survived the war
U-825,0,498,,1945-05-13,Survived the war
U-826,0,496,,1945-05-11,Survived the war
U-827,0,490,,1945-05-05,Survived the war
U-828,0,490,,1945-05-05,Survived the war
U-83,6,792,132,1943-03-04,Did not survive the War
U-84,6,948,158,1943-08-07,Did not survive the War
U-841,0,654,,1943-10-17,Did not survive the War
U-842,0,674,,1943-11-06,Did not survive the War
U-843,1,1194,1194,1945-04-09,Did not survive the War
U-844,0,653,,1943-10-16,Did not survive the War
U-845,0,434,,1944-03-10,Did not survive the War
U-846,0,489,,1944-05-04,Did not survive the War
U-847,0,603,,1943-08-27,Did not survive the War
U-848,1,673,673,1943-11-05,Did not survive the War
U-849,0,693,,1943-11-25,Did not survive the War
U-85,3,468,156,1942-04-14,Did not survive the War
U-850,0,718,,1943-12-20,Did not survive the War
U-851,0,451,,1944-03-27,Did not survive the War
U-852,2,488,244,1944-05-03,Did not survive the War
U-853,2,856,428,1945-05-06,Survived the war
U-854,0,399,,1944-02-04,Did not survive the War
U-855,0,619,,1944-09-11,Did not survive the War
U-856,0,462,,1944-04-07,Did not survive the War
U-857,2,850,425,1945-04-30,Did not survive the War
U-858,0,864,,1945-05-14,Survived the war
U-859,3,631,210,1944-09-23,Did not survive the War
U-86,3,1062,354,1943-11-29,Did not survive the War
U-860,0,531,,1944-06-15,Did not survive the War
U-861,4,859,214,1945-05-09,Survived the war
U-862,7,944,134,1945-08-02,Survived the war
U-863,0,637,,1944-09-29,Did not survive the War
U-864,0,770,,1945-02-09,Did not survive the War
U-865,0,617,,1944-09-09,Did not survive the War
U-866,0,807,,1945-03-18,Did not survive the War
U-867,0,627,,1944-09-19,Did not survive the War
U-868,1,859,859,1945-05-09,Survived the war
U-869,0,772,,1945-02-11,Did not survive the War
U-87,5,792,158,1943-03-04,Did not survive the War
U-870,2,819,409,1945-03-30,Did not survive the War
U-871,0,634,,1944-09-26,Did not survive the War
U-872,0,587,,1944-08-10,Did not survive the War
U-873,0,866,,1945-05-16,Survived the war
U-874,0,859,,1945-05-09,Survived the war
U-875,0,859,,1945-05-09,Survived the war
U-876,0,488,,1945-05-03,Survived the war
U-877,0,726,,1944-12-27,Did not survive the War
U-878,0,465,,1945-04-10,Did not survive the War
U-879,0,485,,1945-04-30,Did not survive the War
U-88,2,619,309,1942-09-12,Did not survive the War
U-880,0,471,,1945-04-16,Did not survive the War
U-881,0,491,,1945-05-06,Survived the war
U-883,0,490,,1945-05-05,Survived the war
U-889,0,498,,1945-05-13,Survived the war
U-89,4,861,215,1943-05-12,Did not survive the War
U-9,8,3519,439,1944-08-20,Did not survive the War
U-90,0,569,,1942-07-24,Did not survive the War
U-901,0,865,,1945-05-15,Survived the war
U-903,0,855,,1945-05-05,Survived the war
U-904,0,854,,1945-05-04,Survived the war
U-905,0,816,,1945-03-27,Did not survive the War
U-907,0,494,,1945-05-09,Survived the war
U-91,5,1151,230,1944-02-26,Did not survive the War
U-92,3,1007,335,1944-10-04,Did not survive the War
U-921,0,632,,1944-09-24,Did not survive the War
U-922,0,853,,1945-05-03,Survived the war
U-923,0,770,,1945-02-09,Did not survive the War
U-924,0,853,,1945-05-03,Survived the war
U-925,0,602,,1944-08-25,Did not survive the War
U-926,0,859,,1945-05-09,Survived the war
U-927,0,420,,1945-02-24,Did not survive the War
U-928,0,494,,1945-05-09,Survived the war
U-929,0,486,,1945-05-01,Did not survive the War
U-93,8,745,93,1942-01-15,Did not survive the War
U-930,0,494,,1945-05-09,Survived the war
U-94,26,970,37,1942-08-28,Did not survive the War
U-95,8,697,87,1941-11-28,Did not survive the War
U-951,0,552,,1943-07-07,Did not survive the War
U-952,3,944,314,1944-08-02,Did not survive the War
U-953,0,1224,,1945-05-09,Survived the war
U-954,0,503,,1943-05-19,Did not survive the War
U-955,0,888,,1944-06-07,Did not survive the War
U-956,1,1228,1228,1945-05-13,Survived the war
U-957,4,1024,256,1944-10-21,Did not survive the War
U-958,2,1218,609,1945-05-03,Survived the war
U-959,0,852,,1944-05-02,Did not survive the War
U-96,27,1915,70,1945-03-30,Did not survive the War
U-960,3,869,289,1944-05-19,Did not survive the War
U-961,0,818,,1944-03-29,Did not survive the War
U-962,0,828,,1944-04-08,Did not survive the War
U-963,0,1235,,1945-05-20,Survived the war
U-964,0,653,,1943-10-16,Did not survive the War
U-965,0,819,,1945-03-30,Did not survive the War
U-966,0,313,,1943-11-10,Did not survive the War
U-967,1,596,596,1944-08-19,Did not survive the War
U-968,4,859,214,1945-05-09,Survived the war
U-969,0,583,,1944-08-06,Did not survive the War
U-97,16,1262,78,1943-06-16,Did not survive the War
U-970,0,524,,1944-06-08,Did not survive the War
U-971,0,540,,1944-06-24,Did not survive the War
U-972,0,348,,1943-12-15,Did not survive the War
U-973,0,430,,1944-03-06,Did not survive the War
U-974,0,474,,1944-04-19,Did not survive the War
U-975,0,859,,1945-05-09,Survived the war
U-976,0,449,,1944-03-25,Did not survive the War
U-977,0,959,,1945-08-17,Survived the war
U-978,0,859,,1945-05-09,Survived the war
U-979,1,874,874,1945-05-24,Survived the war
U-98,11,1049,95,1942-11-15,Did not survive the War
U-980,0,527,,1944-06-11,Did not survive the War
U-981,0,589,,1944-08-12,Did not survive the War
U-982,0,829,,1945-04-09,Did not survive the War
U-983,0,250,,1943-09-08,Did not survive the War
U-984,1,579,579,1944-08-02,Did not survive the War
U-985,1,684,684,1944-11-15,Did not survive the War
U-986,0,465,,1944-04-10,Did not survive the War
U-987,0,531,,1944-06-15,Did not survive the War
U-988,0,538,,1944-06-22,Did not survive the War
U-989,1,775,775,1945-02-14,Did not survive the War
U-99,38,441,11,1941-03-17,Did not survive the War
U-990,1,510,510,1944-05-25,Did not survive the War
U-991,0,859,,1945-05-09,Survived the war
U-992,1,859,859,1945-05-09,Survived the war
U-993,0,642,,1944-10-04,Did not survive the War
U-994,0,859,,1945-05-09,Survived the war
U-995,5,859,171,1945-05-09,Survived the war
U-997,2,859,429,1945-05-09,Survived the war
U-998,0,543,,1944-06-27,Did not survive the War
U-999,0,855,,1945-05-05,Survived the war
